Symbol	Scientific Name	Common Name	Fact Sheets	Plant Guides
MALUS	Malus	apple	doc pdf	 
MAAN3	Malus angustifolia	southern crab apple	doc pdf	 
MAMA37	Malus mandshurica	Manchurian crab apple	 	doc pdf
MAIN3	Mangifera indica	mango	 	doc pdf
MAES	Manihot esculenta	cassava	 	doc pdf
MEPO3	Medicago polymorpha	burclover	doc pdf	doc pdf
MESA	Medicago sativa	alfalfa	doc pdf	 
MESAF	Medicago sativa ssp. falcata	yellow alfalfa	 	doc pdf
MENI	Melica nitens	threeflower melicgrass	doc pdf	 
MESP	Melica spectabilis	purple oniongrass	 	doc pdf
MEOF	Melilotus officinalis	sweetclover	 	doc pdf
MEDI	Mentzelia dispersa	bushy blazingstar	 	doc pdf
MELA2	Mentzelia laevicaulis	smoothstem blazingstar	 	doc pdf
MIST2	Mimosa strigillosa	powderpuff	doc pdf	doc pdf
MIMA2	Mirabilis macfarlanei	MacFarlane's four o'clock	 	doc pdf
MODI	Monarda didyma	scarlet beebalm	 	doc pdf
MOFI	Monarda fistulosa	wild bergamot	 	doc pdf
MOME	Monarda media	purple bergamot	doc pdf	 
MOPU	Monarda punctata	spotted beebalm	 	doc pdf
MOCA6	Morella californica	California wax myrtle	 	doc pdf
MOCE2	Morella cerifera	wax myrtle	 	 
MYPU	Myrica pusilla		doc pdf	 
MOPE6	Morella pensylvanica	northern bayberry	doc pdf	 
MOAL	Morus alba	white mulberry	 	doc pdf
MORU2	Morus rubra	red mulberry	 	doc pdf
MUCA2	Muhlenbergia capillaris	hairawn muhly	doc pdf	 
MUEX	Muhlenbergia expansa	cutover muhly	 	 
MUCAT	Muhlenbergia capillaris var. trichopodes		doc pdf	 
MUFI3	Muhlenbergia filipes	gulfhairawn muhly	 	doc pdf
MULI	Muhlenbergia lindheimeri	Lindheimer's muhly	doc pdf	 
MURE2	Muhlenbergia reverchonii	seep muhly	doc pdf	 
MURI2	Muhlenbergia rigens	deergrass	doc pdf	doc pdf
MYSP2	Myriophyllum spicatum	Eurasian watermilfoil	 	doc pdf
NACE	Nassella cernua	nodding needlegrass	 	doc pdf
NALE3	Nassella leucotricha	Texas wintergrass	doc pdf	 
NAPU4	Nassella pulchra	purple needlegrass	 	doc pdf
